ID,ABCD_Final,ABC_Final,ABC_Subclass,D,D_Score,R1_Proximity,R2_Proximity,R1_Contact,R2_Contact,R1_Resistance,R2_Resistance,R1_Avoidance,R2_Avoidance,Approach/Avoidance,Resistance/Disorganization,ContactInitiation_R1,ContactInitiation_R2,InfantInitialApproach_R1,InfantInitialApproach_R2,TimeHeld_R1,TimeHeld_2,ContactDuration_R1,ContactDuration_R2,Crying_R1,Crying_R2,InfantVelocityToward_R1,InfantVelocityToward_R2,InfantVelocityAway_R1,InfantVelocityAway_R2,MotherVelocityToward_R1,MotherVelocityToward_R2,MotherVelocityAway_R1,MotherVelocityAway_R2,MotherInitialApproach_R1,MotherInitialApproach_R2,MotherInitialApproach_overall,ContactInitiation_overall,InfantInitialApproach_overall,TimeHeld_overall,ContactDuration_overall,Crying_overall,InfantVelocityToward_overall,InfantVelocityAway_overall,MotherVelocityAway_overall,MotherVelocityToward_overall
1,4,2,B2,1,6,6,6,3,3,1,1,1,1,3,-0.005605481,5,0,0.141139525,0.189040298,0,0,89.12,0,0.001897728,0.020696665,0.058079204,0.084016819,-0.044792992,-0.069271873,0.008569864,0.215106777,-0.260980897,-0.133820521,21.92033058,31.44714319,26.68373689,2.5,0.165089912,0,44.56,0.011297197,0.07045643,-0.057108129,-0.222254783,0.016412501
24,2,2,B4/B3,0,3.5,6,6,3,4,1,3,3,3,2.5,-0.052435519,0,1,-0.001262898,0,0,0,0,53.44,0.035933207,0.023295304,0.035769797,0.03316245,-0.040514195,-0.067533679,0.006307474,0.006944884,-0.292318986,-0.117015067,18.98090496,8.291390821,13.63614789,0.5,-0.000631449,0,26.72,0.029614256,0.03344221,-0.062129782,-0.208671431,0.006620198
35,2,2,B2/B4,0,3,3,3,5,4,4,4,3,3,1.833333333,0.822864976,4,2,0.011052983,-0.007353478,0,0,87.64,78,0.110997139,0.08823219,0.041661505,0.052867121,-0.047155352,-0.045765709,0.082440798,0.081567776,-0.067385845,-0.066063224,42.63056605,57.55663427,50.09360016,3,0.001849753,0,82.82,0.099614665,0.04661453,-0.046393309,-0.066743623,0.081996105
37,4,2,D/B2,1,7,2,6,1,3,1,1,4,1,1.5,0.175088574,2,7,-0.116389499,-0.012141047,0,0,4.08,22.8,0.008685878,0.003639722,0.147454831,0.095288393,-0.150079357,-0.082201939,0.046498978,0.077038792,-0.035916917,-0.062349689,38.04919647,41.46263878,39.75591763,4.5,-0.064265273,0,13.44,0.0061628,0.1225939,-0.115680131,-0.048696518,0.061684913
40,2,2,B4,0,1,7,6,4,7,1,2,1,1,4,-0.706623206,10,1,0.029636174,0.142517664,0,2.32,187.52,179.32,0.042382022,0.026055755,0.062880303,0.042919453,-0.063434755,-0.052987839,0.053931549,0.025642917,-0.053340275,-0.037348666,5.197611292,15.95443739,10.57602434,5.5,0.086076919,1.16,183.42,0.034218889,0.053601,-0.059012805,-0.047346046,0.038169693
43,2,2,B3,0,2,4,4,3,3,1,1,3,2,1.833333333,-0.7283817,5,2,-0.001015389,0.178150301,0,0,116.16,131.6,0.001411931,0.007483476,0.096134007,0.065750481,-0.079323393,-0.048098826,0.014704657,0.014762039,-0.016464379,-0.055419626,0.77397877,15.63896214,8.206470455,3.5,0.088567456,0,123.88,0.004447704,0.08148901,-0.0643211,-0.023984173,0.014750559
44,2,2,B2/B4,0,3,1,7,1,6,1,4,3,1,2.166666667,0.059670002,3,3,0.00242371,0.030192732,0,31.8,4,162.52,0.084196224,0.209388972,0.02432352,0.064927103,-0.02304795,-0.061732417,0.053617648,0.10356078,-0.051761607,-0.106153866,32.40076203,11.58971678,21.99523941,3,0.016308221,15.9,83.26,0.146792598,0.04423191,-0.040623842,-0.077645617,0.077935817
45,2,2,B2,0,3.5,1,4,1,5,1,1,5,3,0.833333333,-0.457340618,10,4,-0.001618647,0.000472655,0,0,19.2,165.36,0.022206732,0.020220295,0.056142201,0.04471274,-0.042580317,-0.03697989,0.113521069,0.049356367,-0.012167076,-0.042160073,12.2000233,10.81363575,11.50682953,7,-0.000572996,0,92.28,0.021213514,0.04921602,-0.039372764,-0.025605019,0.061093026
46,3,3,C1,0,1,6,5,5,7,1,5,2,2,3.5,-0.099265558,8,1,-0.002211062,-0.017491688,0,35.44,49.76,174.6,0.050949367,0.182313429,0.06494665,0.087750945,-0.059710888,-0.076255601,0.059247166,0.08227168,-0.067461933,-0.073367448,6.84854896,4.741314009,5.794931485,4.5,-0.009851375,17.72,112.18,0.116631398,0.07628795,-0.0677496,-0.07046743,0.070310082
48,4,3,D/C1/B4,1,7,2,6,1,5,1,5,3,1,2,0.984898771,5,15,-0.003633712,0.040985421,0,0,7.4,61.8,0.018359724,0.302392239,0.076021547,0.068502002,-0.122169642,-0.074386214,0.031680005,0.050422333,-0.03151861,-0.042023468,18.00841575,32.17815603,25.09328589,10,0.018675855,0,34.6,0.160375982,0.07270864,-0.095014871,-0.036810804,0.041040712
